image_name,gender,height,weight,shoulder_size,waist_size,hip_size,arm_length,leg_size,ideal_dress_size,age_estimation,color_tone
person_3852.png,Female,164,66,38,76,116,64,98,XS,36,Dark
person_9679.png,Male,163,87,38,85,115,52,98,L,22,Dark
person_8261.png,Female,187,79,38,90,115,61,86,M,41,Light
person_0211.png,Male,180,50,37,69,105,69,86,XS,58,Dark
person_3901.png,Female,184,71,38,79,115,62,86,S,38,Medium
person_5050.png,Female,180,56,48,94,117,57,87,M,46,Light
person_4303.png,Male,180,95,50,65,107,61,92,L,43,Dark
person_3910.png,Female,157,97,48,95,91,55,80,M,18,Dark
person_3961.png,Female,186,95,43,73,116,69,88,S,33,Light
person_1144.png,Male,190,97,50,85,118,59,91,XS,40,Medium
person_8143.png,Female,163,50,45,68,112,70,83,XS,45,Light
person_4308.png,Male,167,96,38,95,81,64,93,S,55,Light
person_8761.png,Female,182,87,43,82,103,53,98,S,25,Medium
person_6216.png,Male,174,80,49,84,116,63,92,L,55,Dark
person_6535.png,Female,154,48,42,76,92,64,95,L,54,Medium
person_4222.png,Male,174,51,40,80,120,52,94,XS,26,Light
person_6961.png,Male,163,94,50,60,85,51,87,XL,42,Dark
person_1230.png,Female,161,95,48,73,115,64,80,M,26,Medium
person_9005.png,Female,166,54,40,94,88,68,88,S,55,Medium
person_9922.png,Male,153,64,39,84,115,67,94,XS,57,Dark
person_2944.png,Male,171,77,38,63,82,53,85,L,33,Medium
person_6940.png,Male,174,68,50,65,80,52,80,M,33,Light
person_0885.png,Male,182,51,44,60,107,60,97,L,23,Dark
person_6283.png,Female,182,67,41,82,84,51,80,L,24,Medium
person_8497.png,Male,165,100,41,94,114,57,90,M,59,Dark
person_1061.png,Male,189,58,50,78,110,56,96,S,37,Dark
person_3303.png,Male,159,79,50,100,92,69,82,S,53,Medium
person_7881.png,Male,169,74,47,98,81,56,90,M,47,Dark
person_8576.png,Female,162,98,36,99,117,52,84,XS,57,Dark
person_3476.png,Female,162,74,42,62,119,50,93,XL,43,Medium
person_8846.png,Male,178,68,36,69,96,59,81,M,60,Light
person_3353.png,Female,185,51,35,86,85,58,98,XL,51,Medium
person_8523.png,Male,167,100,49,97,88,64,83,XS,27,Dark
person_8811.png,Female,177,61,42,61,80,54,100,XL,31,Dark
person_6403.png,Male,183,100,40,80,97,58,87,L,49,Light
person_3948.png,Female,154,67,37,68,109,68,85,XL,59,Dark
person_3969.png,Female,159,77,46,88,89,52,100,M,47,Medium
person_0622.png,Female,155,62,45,86,100,60,82,XS,40,Light
person_6784.png,Male,166,88,37,98,86,57,81,S,55,Medium
person_3995.png,Male,161,63,37,96,91,67,84,M,45,Medium
person_2539.png,Male,171,61,41,86,113,52,92,XS,60,Medium
person_9219.png,Male,169,68,37,78,113,70,95,L,25,Dark
person_4818.png,Female,177,52,47,87,88,60,86,M,23,Medium
person_4235.png,Female,155,46,50,99,95,69,95,XL,32,Dark
person_9273.png,Male,175,94,35,71,82,60,85,L,34,Light
person_3428.png,Female,176,92,49,94,98,61,81,XS,32,Light
person_9722.png,Male,162,45,44,95,100,61,88,XL,35,Medium
person_4908.png,Female,181,82,38,84,95,70,90,XS,31,Medium
person_2733.png,Female,177,52,40,77,110,59,88,M,26,Dark
person_8803.png,Male,168,78,48,96,100,61,99,S,41,Dark
person_3603.png,Female,163,91,48,91,100,65,84,L,36,Light
person_5597.png,Male,160,75,46,80,102,62,97,M,21,Light
person_6940.png,Female,170,69,35,88,109,50,87,M,20,Light
person_2826.png,Male,186,73,44,91,107,53,81,S,38,Dark
person_8115.png,Female,167,56,43,84,87,50,81,L,31,Light
person_0652.png,Female,177,60,45,85,97,69,96,XS,43,Dark
person_7204.png,Female,165,81,36,100,114,70,87,S,47,Light
person_6724.png,Male,163,91,44,73,110,62,88,M,37,Light
person_7447.png,Female,159,91,47,81,119,67,80,XS,19,Light
person_6241.png,Female,183,72,44,81,113,66,81,S,24,Dark
person_6284.png,Female,169,92,47,86,117,58,90,M,49,Light
person_2536.png,Female,168,58,37,67,90,50,83,L,35,Dark
person_2960.png,Female,178,75,36,63,92,54,89,XL,45,Light
person_7414.png,Female,181,76,37,96,117,70,81,M,57,Medium
person_2263.png,Male,190,86,48,82,105,66,98,L,21,Light
person_8783.png,Male,187,58,50,90,92,50,80,XL,19,Medium
person_2784.png,Male,177,90,43,82,101,64,81,L,23,Light
person_3611.png,Male,171,93,41,94,103,51,98,L,29,Light
person_6447.png,Female,160,52,47,95,89,69,92,L,48,Medium
person_1423.png,Male,160,48,39,88,107,64,83,M,58,Medium
person_5249.png,Male,154,50,45,69,114,64,98,L,36,Medium
person_8401.png,Male,152,80,37,94,111,55,94,XL,34,Light
person_4854.png,Male,163,85,42,60,101,51,88,M,29,Light
person_6251.png,Female,186,91,48,60,80,50,98,XS,27,Light
person_3999.png,Male,161,57,45,97,83,69,98,M,45,Dark
person_9433.png,Male,189,86,40,77,98,65,92,M,55,Dark
person_5616.png,Female,167,94,40,78,91,53,82,S,56,Light
person_6103.png,Female,174,80,42,79,119,68,83,XL,30,Light
person_7026.png,Female,150,92,48,77,82,67,97,S,28,Dark
person_0974.png,Female,153,77,46,73,106,63,80,M,30,Dark
person_5711.png,Male,182,54,42,63,85,55,92,S,31,Light
person_6749.png,Male,185,51,43,91,117,57,92,M,56,Dark
person_6929.png,Male,170,98,46,98,92,63,97,XL,57,Medium
person_0644.png,Male,178,96,38,84,82,58,90,XS,28,Dark
person_7478.png,Female,180,65,48,70,99,64,81,M,30,Light
person_0988.png,Male,163,47,41,94,118,53,84,XL,27,Medium
person_1433.png,Female,157,94,39,83,108,55,87,S,27,Dark
person_5425.png,Female,159,56,38,73,88,59,93,S,26,Medium
person_2833.png,Male,169,45,35,81,97,65,97,XL,36,Medium
person_2382.png,Male,167,89,42,73,105,58,95,XS,35,Light
person_7201.png,Female,154,60,49,95,84,65,85,L,45,Dark
person_8330.png,Female,162,84,49,92,100,51,92,XL,19,Medium
person_4034.png,Female,180,87,43,84,93,69,87,L,38,Light
person_0736.png,Male,159,50,43,71,110,53,94,XS,42,Light
person_2864.png,Male,153,55,42,70,105,52,80,L,21,Light
person_1970.png,Female,152,82,42,86,100,62,83,S,25,Dark
person_2921.png,Male,164,53,49,70,110,58,92,S,56,Medium
person_7321.png,Female,160,49,38,85,103,57,97,S,22,Light
person_8566.png,Female,167,54,43,82,116,51,97,L,49,Light
person_8410.png,Male,153,80,44,74,107,58,87,XS,38,Medium
person_2551.png,Female,151,56,43,84,111,59,85,M,23,Dark
person_6250.png,Male,176,95,49,75,80,62,84,S,36,Medium
person_1357.png,Female,173,61,37,83,97,58,93,XL,34,Light
person_1778.png,Female,176,62,40,96,107,57,96,S,21,Medium
person_9967.png,Male,175,68,47,100,99,67,92,M,51,Light
person_5482.png,Male,189,49,49,68,117,70,96,M,49,Dark
person_2782.png,Female,162,90,50,99,107,62,81,XL,35,Medium
person_5220.png,Female,181,55,48,99,96,67,84,S,57,Light
person_0214.png,Male,187,61,44,60,98,64,90,M,20,Dark
person_1811.png,Female,151,99,36,81,112,62,97,XS,38,Medium
person_1025.png,Female,183,73,39,70,103,54,82,M,54,Dark
person_2984.png,Male,170,61,50,95,87,62,95,L,51,Light
person_5258.png,Female,162,80,42,96,87,59,91,L,28,Medium
person_8532.png,Male,161,56,46,87,107,57,83,M,49,Medium
person_3677.png,Male,190,57,41,85,120,62,97,XL,38,Light
person_1401.png,Female,169,93,40,98,111,69,88,M,27,Medium
person_3756.png,Male,152,93,42,96,107,52,87,S,24,Light
person_0138.png,Female,177,81,50,98,105,60,88,XS,41,Dark
person_2659.png,Female,173,70,35,60,107,51,97,L,54,Light
person_3804.png,Female,165,74,37,87,99,51,94,XL,52,Medium
person_8991.png,Female,182,52,43,65,101,50,82,XS,37,Light
person_8132.png,Male,177,97,43,84,83,60,93,L,55,Dark
person_5696.png,Male,178,59,37,78,85,69,80,XL,18,Medium
person_4676.png,Female,157,63,41,61,92,52,80,L,20,Light
person_8875.png,Female,190,53,38,82,101,56,95,L,23,Light
person_9231.png,Male,173,79,38,69,111,61,96,M,26,Medium
person_0229.png,Male,161,74,36,71,99,51,85,M,43,Dark
person_1553.png,Female,174,76,35,86,120,58,97,M,38,Dark
person_3729.png,Male,177,93,39,80,119,57,85,L,25,Light
person_6908.png,Male,156,74,48,85,83,69,90,S,41,Light
person_3665.png,Male,177,49,39,81,92,51,84,L,20,Medium
person_0783.png,Female,164,64,49,97,87,62,91,M,38,Medium
person_1545.png,Female,166,56,40,86,95,58,97,XL,22,Light
person_6794.png,Female,178,100,45,77,93,55,84,M,49,Light
person_5378.png,Male,189,99,39,93,102,65,81,M,26,Medium
person_2338.png,Female,155,79,48,80,109,66,83,L,48,Dark
person_8036.png,Male,171,83,42,84,87,61,100,XL,27,Light
person_9476.png,Male,153,95,43,66,92,60,82,S,57,Medium
person_5477.png,Male,173,94,38,63,90,64,91,XL,33,Medium
person_7189.png,Male,155,79,50,86,113,70,100,M,55,Light
person_1283.png,Female,151,73,46,93,109,63,96,M,58,Dark
person_3337.png,Male,165,58,50,79,99,56,94,XL,58,Medium
person_3389.png,Male,160,55,45,92,116,67,85,M,40,Dark
person_3024.png,Female,158,66,38,100,114,65,86,L,19,Medium
person_6651.png,Female,166,98,44,99,99,54,96,XL,38,Medium
person_0346.png,Male,176,65,48,98,114,51,91,XS,19,Dark
person_6533.png,Female,168,45,46,83,118,68,80,XS,50,Medium
person_0575.png,Female,188,70,45,98,81,62,85,S,55,Dark
person_5459.png,Male,176,72,37,84,115,58,86,S,23,Light
person_9694.png,Female,162,59,38,63,114,54,96,M,37,Medium
person_1378.png,Female,170,83,43,83,105,50,85,S,25,Dark
person_0303.png,Female,165,80,48,90,94,51,83,M,49,Light
person_1627.png,Male,188,45,47,67,113,66,97,M,55,Medium
person_8662.png,Male,174,58,40,91,113,56,99,XL,22,Dark
person_4077.png,Male,158,100,39,92,101,64,91,M,31,Dark
person_3099.png,Male,156,58,37,94,118,54,98,XL,27,Medium
person_3684.png,Male,151,86,37,93,116,68,87,M,31,Medium
person_0712.png,Female,152,66,49,80,89,62,84,M,36,Light
person_5792.png,Male,154,80,37,93,109,59,86,S,58,Dark
person_9513.png,Male,187,95,42,99,108,61,93,L,60,Medium
person_8686.png,Female,174,79,40,80,114,56,93,L,21,Dark
person_5096.png,Male,171,68,49,93,92,50,80,XL,46,Dark
person_5898.png,Female,186,96,36,69,117,67,81,L,22,Medium
person_5141.png,Male,189,77,49,81,103,63,96,S,38,Medium
person_2180.png,Female,150,96,44,94,120,66,97,XL,49,Dark
person_2781.png,Male,153,86,50,86,106,53,98,L,50,Dark
person_2800.png,Female,181,56,37,71,100,66,83,M,59,Light
person_3202.png,Male,182,89,39,73,115,57,87,M,39,Medium
person_7936.png,Male,151,80,42,95,119,58,86,S,32,Dark
person_5125.png,Female,151,75,35,80,104,58,94,S,58,Light
person_8375.png,Male,176,98,50,77,86,57,100,L,56,Medium
person_5414.png,Female,174,88,46,82,87,59,90,XS,41,Light
person_5792.png,Male,175,55,45,88,115,50,90,XL,56,Light
person_9686.png,Female,183,58,43,71,106,53,98,L,37,Medium
person_4877.png,Male,168,84,41,87,118,64,89,S,48,Light
person_4554.png,Female,170,71,45,66,114,70,87,S,54,Light
person_8327.png,Female,183,76,39,89,83,67,86,M,20,Medium
person_3944.png,Male,158,82,43,96,109,54,92,XL,24,Dark
person_3211.png,Female,176,68,35,86,93,58,96,XS,49,Dark
person_4230.png,Male,157,46,44,63,112,66,91,S,53,Light
person_4374.png,Male,168,50,35,84,99,68,84,M,21,Light
person_4183.png,Male,152,73,49,92,120,66,83,XL,43,Dark
person_1855.png,Male,186,55,49,69,81,51,89,M,35,Light
